Counter,Date/time,Latitude,Longitude,Elevation,Temperature,Humidity
1,2022-04-24 13:54:06.110681,-47.37525736122789,59.73885084520267,435.3930224596934,39.6255,50.4551
2,2022-04-24 13:54:17.529158,-47.66999305913711,60.68576644591285,435.49980308881857,39.5718,50.2896
3,2022-04-24 13:54:28.387143,-47.9421786697248,61.59648876418154,435.5973844898927,39.7509,50.5042
4,2022-04-24 13:54:39.227276,-48.20588176590992,62.51557031878931,435.6908978205667,39.5897,50.2835
5,2022-04-24 13:54:50.514310,-48.47177530837871,63.482952358597295,435.78406923051887,39.6255,50.2559
6,2022-04-24 13:55:01.316275,-48.71777364545205,64.41851495704925,435.86917107973835,39.5539,50.1884
7,2022-04-24 13:55:12.516312,-48.96394194533509,65.39852241610176,435.95316508115894,39.6434,50.5317
8,2022-04-24 13:55:23.378630,-49.19387555728777,66.35847889401518,436.03045083203494,39.536,50.3999
9,2022-04-24 13:55:34.215359,-49.414473263498564,67.32531547584611,436.103414637917,39.5718,50.2252
10,2022-04-24 13:55:45.134861,-49.62771968241712,68.30854589358239,436.1727103472937,39.5897,50.449
11,2022-04-24 13:55:55.946322,-49.82976743868941,69.29068150476698,436.2370994956469,39.6076,50.357
12,2022-04-24 13:56:06.733129,-50.02222395704687,70.27899111736441,436.2971257271232,39.4644,50.1425
13,2022-04-24 13:56:17.496231,-50.205012645446914,71.27312923520729,436.3527811613659,39.5718,50.1087
14,2022-04-24 13:56:28.289429,-50.378920738742494,72.27784374797729,436.4043108384268,39.4644,50.3019
15,2022-04-24 13:56:39.066246,-50.543052511242884,73.28849377238191,436.4514525486343,39.5002,50.0842
16,2022-04-24 13:56:49.884780,-50.69814019711113,74.31023725254511,436.49441654026225,39.5718,50.3815
17,2022-04-24 13:57:00.697151,-50.84332668017281,75.33818876380502,436.5329619429134,39.5539,50.3815
18,2022-04-24 13:57:11.805760,-50.9821650487703,76.40103212119362,436.56796361900206,39.6076,50.3202
19,2022-04-24 13:57:23.025049,-51.111645929437586,77.48092793298584,436.59855553694575,39.4644,50.213
20,2022-04-24 13:57:33.876259,-51.2265058579753,78.53112520856047,436.623571831049,39.4823,50.3907
21,2022-04-24 13:57:44.713206,-51.33094715374543,79.58517548974096,436.6440498416757,39.5718,50.1578
22,2022-04-24 13:57:55.880521,-51.42774384745695,80.67631295714513,436.66042252168984,39.6255,50.308
23,2022-04-24 13:58:06.737181,-51.511233735269734,81.74145591192459,436.67172227812404,39.536,50.1547
24,2022-04-24 13:58:17.889945,-51.586029179838704,82.83958656904986,436.6785758813361,39.4465,50.2405
25,2022-04-24 13:58:28.676538,-51.64773141550719,83.9049751295172,436.68061005356907,39.5897,50.2467
26,2022-04-24 13:58:39.441810,-51.69883408069673,84.97107320242017,436.67812690832363,39.4644,50.2559
27,2022-04-24 13:58:50.246355,-51.73955003364841,86.04326695012357,436.671094817018,39.6255,50.4735
28,2022-04-24 13:59:01.015173,-51.76956109219764,87.11369694898413,436.65955536980766,39.4644,50.0597
29,2022-04-24 13:59:11.842592,-51.78906900774504,88.19117461659278,436.64339096842195,39.536,50.2436
30,2022-04-24 13:59:22.660066,-51.797861859611174,89.26833204120503,436.6226736033848,39.4465,50.1118
